
--- Run started 2026-02-08 17:56:26 ---

======================================================================
CREATING NEW MODEL
======================================================================

Starting fresh with epsilon: 1.0000
======================================================================

Starting DQN training for 500000 episodes...
Episode 245000/500000, Total Reward: 30880, Epsilon: 0.0100, Buffer: 100000
Episode 246000/500000, Total Reward: 27243, Epsilon: 0.0100, Buffer: 100000
Episode 247000/500000, Total Reward: 41248, Epsilon: 0.0100, Buffer: 100000
Episode 248000/500000, Total Reward: 34056, Epsilon: 0.0100, Buffer: 100000
Episode 249000/500000, Total Reward: 33437, Epsilon: 0.0100, Buffer: 100000
Episode 250000/500000, Total Reward: 25814, Epsilon: 0.0100, Buffer: 100000
Episode 251000/500000, Total Reward: 35603, Epsilon: 0.0100, Buffer: 100000
Episode 252000/500000, Total Reward: 29013, Epsilon: 0.0100, Buffer: 100000
Episode 253000/500000, Total Reward: 32214, Epsilon: 0.0100, Buffer: 100000
Episode 254000/500000, Total Reward: 23110, Epsilon: 0.0100, Buffer: 100000
Episode 255000/500000, Total Reward: 14255, Epsilon: 0.0100, Buffer: 100000
Episode 256000/500000, Total Reward: 29248, Epsilon: 0.0100, Buffer: 100000
Episode 257000/500000, Total Reward: 28414, Epsilon: 0.0100, Buffer: 100000
Episode 258000/500000, Total Reward: 25012, Epsilon: 0.0100, Buffer: 100000
Episode 259000/500000, Total Reward: 36029, Epsilon: 0.0100, Buffer: 100000
Episode 260000/500000, Total Reward: 30225, Epsilon: 0.0100, Buffer: 100000
Episode 261000/500000, Total Reward: 30010, Epsilon: 0.0100, Buffer: 100000
Episode 262000/500000, Total Reward: 17841, Epsilon: 0.0100, Buffer: 100000
Episode 263000/500000, Total Reward: 34595, Epsilon: 0.0100, Buffer: 100000
Episode 264000/500000, Total Reward: 30829, Epsilon: 0.0100, Buffer: 100000
Episode 265000/500000, Total Reward: 39158, Epsilon: 0.0100, Buffer: 100000
Episode 266000/500000, Total Reward: 34541, Epsilon: 0.0100, Buffer: 100000
Episode 267000/500000, Total Reward: 18481, Epsilon: 0.0100, Buffer: 100000
Episode 268000/500000, Total Reward: 34078, Epsilon: 0.0100, Buffer: 100000
Episode 269000/500000, Total Reward: 23975, Epsilon: 0.0100, Buffer: 100000
Episode 270000/500000, Total Reward: 37042, Epsilon: 0.0100, Buffer: 100000
Episode 271000/500000, Total Reward: 33044, Epsilon: 0.0100, Buffer: 100000
Episode 272000/500000, Total Reward: 32539, Epsilon: 0.0100, Buffer: 100000
Episode 273000/500000, Total Reward: 32530, Epsilon: 0.0100, Buffer: 100000
Episode 274000/500000, Total Reward: 38658, Epsilon: 0.0100, Buffer: 100000
