scenario,metric,parity,mean,std_across_seeds,se_across_seeds
UG,parity_fraction,1,0.27349555555555555,,0.0049595637751223805
UG,replacement_fraction,1,0.12794967209637917,,0.005891767283671314
UG,parity_fraction,2,0.21623,,0.0023332239392345687
UG,replacement_fraction,2,0.17394302380782375,,0.0052896978074410276
UG,parity_fraction,3,0.15790666666666667,,0.0006381986609702328
UG,replacement_fraction,3,0.15284517915312595,,0.003098519996935023
UG,parity_fraction,4,0.11510111111111113,,0.0010781290950897344
UG,replacement_fraction,4,0.11545175309062879,,0.0024767674125982316
UG,parity_fraction,5,0.08145222222222223,,0.0013894561063973712
UG,replacement_fraction,5,0.09832281174896865,,0.0021155151928687684
UG,parity_fraction,6,0.05439444444444445,,0.0014252192813739228
UG,replacement_fraction,6,0.08313772533873678,,0.0014353922173903826
UG,parity_fraction,7,0.034224444444444446,,0.0010898671909123424
UG,replacement_fraction,7,0.06411906784591889,,0.0028128123575878357
UG,parity_fraction,8,0.020586666666666666,,0.0009643020248146989
UG,replacement_fraction,8,0.05112246077817317,,0.0009764936166201994
UG,parity_fraction,9,0.012155555555555555,,0.0010928245202679
UG,replacement_fraction,9,0.03933767504455511,,0.0019264702588303142
