parity,mac,mip,cm,V,Q_keep,Q_replace,cow_value,action
3,6,0,1,1147.33,1147.33,981.37,165.96,keep
3,6,1,0,1875.81,1875.81,937.84,937.97,keep
3,6,1,1,1549.76,1549.76,981.37,568.38,keep
3,6,2,0,1919.56,1919.56,937.84,981.71,keep
3,6,2,1,1593.28,1593.28,981.37,611.91,keep
3,6,3,0,1953.22,1953.22,937.84,1015.38,keep
3,6,3,1,1626.91,1626.91,981.37,645.54,keep
3,7,0,0,1363.57,1363.57,947.40,416.17,keep
3,7,0,1,1040.14,1040.14,985.58,54.56,keep
3,7,1,0,1762.23,1762.23,947.40,814.82,keep
3,7,1,1,1453.01,1453.01,985.58,467.43,keep
3,7,2,0,1816.95,1816.95,947.40,869.54,keep
3,7,2,1,1507.45,1507.45,985.58,521.86,keep
3,7,3,0,1863.14,1863.14,947.40,915.74,keep
3,7,3,1,1553.52,1553.52,985.58,567.94,keep
3,7,4,0,1898.67,1898.67,947.40,951.27,keep
3,7,4,1,1589.41,1589.41,985.58,603.83,keep
3,8,0,0,1241.98,1241.98,957.40,284.59,keep
3,8,0,1,990.09,960.54,990.09,-29.55,replace
3,8,1,0,1654.68,1654.68,957.40,697.29,keep
3,8,1,1,1361.92,1361.92,990.09,371.83,keep
3,8,2,0,1719.50,1719.50,957.40,762.10,keep
3,8,2,1,1426.39,1426.39,990.09,436.30,keep
3,8,3,0,1777.29,1777.29,957.40,819.89,keep
3,8,3,1,1483.97,1483.97,990.09,493.88,keep
3,8,4,0,1826.06,1826.06,957.40,868.67,keep
3,8,4,1,1532.97,1532.97,990.09,542.87,keep
3,8,5,0,1863.50,1863.50,957.40,906.10,keep
3,8,5,1,1572.18,1572.18,990.09,582.09,keep
3,9,0,0,1140.33,1140.33,967.26,173.07,keep
3,9,0,1,994.59,895.74,994.59,-98.85,replace
3,9,1,0,1553.86,1553.86,967.26,586.60,keep
3,9,1,1,1276.87,1276.87,994.59,282.28,keep
3,9,2,0,1627.92,1627.92,967.26,660.66,keep
3,9,2,1,1350.53,1350.53,994.59,355.93,keep
3,9,3,0,1696.38,1696.38,967.26,729.12,keep
3,9,3,1,1418.69,1418.69,994.59,424.10,keep
3,9,4,0,1757.40,1757.40,967.26,790.14,keep
3,9,4,1,1479.81,1479.81,994.59,485.21,keep
3,9,5,0,1808.84,1808.84,967.26,841.58,keep
3,9,5,1,1532.72,1532.72,994.59,538.13,keep
3,9,6,0,1848.07,1848.07,967.26,880.81,keep
3,9,6,1,1578.67,1578.67,994.59,584.07,keep
3,10,0,0,1062.47,1062.47,976.72,85.75,keep
3,10,0,1,998.93,848.09,998.93,-150.84,replace
3,10,1,0,1460.08,1460.08,976.72,483.36,keep
3,10,1,1,1198.00,1198.00,998.93,199.07,keep
3,10,2,0,1542.59,1542.59,976.72,565.87,keep
3,10,2,1,1280.05,1280.05,998.93,281.12,keep
3,10,3,0,1620.81,1620.81,976.72,644.09,keep
3,10,3,1,1357.91,1357.91,998.93,358.98,keep
3,10,4,0,1693.10,1693.10,976.72,716.38,keep
3,10,4,1,1430.17,1430.17,998.93,431.24,keep
3,10,5,0,1757.48,1757.48,976.72,780.76,keep
3,10,5,1,1495.75,1495.75,998.93,496.82,keep
3,10,6,0,1811.53,1811.53,976.72,834.81,keep
3,10,6,1,1555.67,1555.67,998.93,556.74,keep
3,10,7,0,1851.88,1851.88,976.72,875.16,keep
3,10,7,1,1619.93,1619.93,998.93,621.00,keep
3,11,0,0,1011.92,1011.92,985.64,26.28,keep
3,11,0,1,1003.03,835.58,1003.03,-167.44,replace
3,11,1,0,1373.40,1373.40,985.64,387.76,keep
3,11,1,1,1125.27,1125.27,1003.03,122.24,keep
3,11,2,0,1463.60,1463.60,985.64,477.96,keep
3,11,2,1,1214.96,1214.96,1003.03,211.93,keep
3,11,3,0,1550.74,1550.74,985.64,565.10,keep
3,11,3,1,1301.68,1301.68,1003.03,298.65,keep
3,11,4,0,1633.35,1633.35,985.64,647.71,keep
3,11,4,1,1384.15,1384.15,1003.03,381.12,keep
3,11,5,0,1709.64,1709.64,985.64,724.00,keep
3,11,5,1,1461.38,1461.38,1003.03,458.36,keep
3,11,6,0,1777.40,1777.40,985.64,791.76,keep
3,11,6,1,1534.22,1534.22,1003.03,531.20,keep
